"temp","species","parameter","percent_change_R0"
19.8,"Ae. aegypti","b",4.88088481701516
19.9,"Ae. aegypti","b",4.88088481701516
20,"Ae. aegypti","b",4.88088481701516
20.1,"Ae. aegypti","b",4.88088481701517
20.2,"Ae. aegypti","b",4.88088481701516
20.3,"Ae. aegypti","b",4.88088481701515
20.4,"Ae. aegypti","b",4.88088481701515
20.5,"Ae. aegypti","b",4.88088481701517
20.6,"Ae. aegypti","b",4.88088481701518
20.7,"Ae. aegypti","b",4.88088481701515
20.8,"Ae. aegypti","b",4.88088481701516
20.9,"Ae. aegypti","b",4.88088481701516
21,"Ae. aegypti","b",4.88088481701515
21.1,"Ae. aegypti","b",4.88088481701518
21.2,"Ae. aegypti","b",4.88088481701516
21.3,"Ae. aegypti","b",4.88088481701514
21.4,"Ae. aegypti","b",4.88088481701516
21.5,"Ae. aegypti","b",4.88088481701518
21.6,"Ae. aegypti","b",4.88088481701516
21.7,"Ae. aegypti","b",4.88088481701515
21.8,"Ae. aegypti","b",4.88088481701513
21.9,"Ae. aegypti","b",4.88088481701515
22,"Ae. aegypti","b",4.88088481701513
22.1,"Ae. aegypti","b",4.88088481701517
22.2,"Ae. aegypti","b",4.88088481701515
22.3,"Ae. aegypti","b",4.88088481701517
22.4,"Ae. aegypti","b",4.88088481701515
22.5,"Ae. aegypti","b",4.88088481701517
22.6,"Ae. aegypti","b",4.88088481701514
22.7,"Ae. aegypti","b",4.88088481701515
22.8,"Ae. aegypti","b",4.88088481701518
22.9,"Ae. aegypti","b",4.88088481701516
23,"Ae. aegypti","b",4.88088481701515
23.1,"Ae. aegypti","b",4.88088481701517
23.2,"Ae. aegypti","b",4.88088481701518
23.3,"Ae. aegypti","b",4.88088481701516
23.4,"Ae. aegypti","b",4.88088481701515
23.5,"Ae. aegypti","b",4.88088481701516
23.6,"Ae. aegypti","b",4.88088481701515
23.7,"Ae. aegypti","b",4.88088481701517
23.8,"Ae. aegypti","b",4.88088481701515
23.9,"Ae. aegypti","b",4.88088481701516
24,"Ae. aegypti","b",4.88088481701517
24.1,"Ae. aegypti","b",4.88088481701514
24.2,"Ae. aegypti","b",4.88088481701517
24.3,"Ae. aegypti","b",4.88088481701516
24.4,"Ae. aegypti","b",4.88088481701516
24.5,"Ae. aegypti","b",4.88088481701517
24.6,"Ae. aegypti","b",4.88088481701516
24.7,"Ae. aegypti","b",4.88088481701518
24.8,"Ae. aegypti","b",4.88088481701515
24.9,"Ae. aegypti","b",4.88088481701517
25,"Ae. aegypti","b",4.88088481701517
25.1,"Ae. aegypti","b",4.88088481701516
25.2,"Ae. aegypti","b",4.88088481701517
25.3,"Ae. aegypti","b",4.88088481701515
25.4,"Ae. aegypti","b",4.88088481701517
25.5,"Ae. aegypti","b",4.88088481701515
25.6,"Ae. aegypti","b",4.88088481701515
25.7,"Ae. aegypti","b",4.88088481701514
25.8,"Ae. aegypti","b",4.88088481701515
25.9,"Ae. aegypti","b",4.88088481701517
26,"Ae. aegypti","b",4.88088481701516
26.1,"Ae. aegypti","b",4.88088481701515
26.2,"Ae. aegypti","b",4.88088481701513
26.3,"Ae. aegypti","b",4.88088481701516
26.4,"Ae. aegypti","b",4.8808848170152
26.5,"Ae. aegypti","b",4.88088481701516
26.6,"Ae. aegypti","b",4.88088481701516
26.7,"Ae. aegypti","b",4.88088481701514
26.8,"Ae. aegypti","b",4.88088481701515
26.9,"Ae. aegypti","b",4.88088481701515
27,"Ae. aegypti","b",4.88088481701515
27.1,"Ae. aegypti","b",4.88088481701516
27.2,"Ae. aegypti","b",4.88088481701515
27.3,"Ae. aegypti","b",4.88088481701516
27.4,"Ae. aegypti","b",4.88088481701516
27.5,"Ae. aegypti","b",4.88088481701514
27.6,"Ae. aegypti","b",4.88088481701514
27.7,"Ae. aegypti","b",4.88088481701516
27.8,"Ae. aegypti","b",4.88088481701517
27.9,"Ae. aegypti","b",4.88088481701515
28,"Ae. aegypti","b",4.88088481701516
28.1,"Ae. aegypti","b",4.88088481701515
